CustomerID,MesReferencia,LoginsMensais,TicketsSuporte,NPS
C00021,2024-02-01,20,2,9
C00021,2024-06-01,13,0,7
C00021,2024-07-01,14,0,7
C00022,2024-02-01,26,1,5
C00022,2024-05-01,23,1,9
C00022,2024-09-01,27,2,7
C00022,2024-01-01,19,0,6
C00022,2024-04-01,23,0,8
C00022,2024-11-01,26,0,6
C00022,2024-10-01,20,0,7
C00022,2024-06-01,21,0,5
C00023,2024-04-01,22,1,9
C00023,2024-06-01,23,1,7
C00023,2024-10-01,18,2,4
C00023,2024-08-01,15,0,6
C00023,2024-11-01,19,1,6
C00023,2024-12-01,27,0,3
C00024,2024-05-01,18,2,6
C00024,2024-10-01,27,0,4
C00024,2024-01-01,26,0,5
C00024,2024-06-01,18,3,4
C00024,2024-09-01,27,0,9
C00024,2024-04-01,18,1,4
C00024,2024-08-01,17,2,7
C00024,2024-07-01,26,2,6
C00024,2024-11-01,22,0,5
C00024,2024-02-01,26,2,7
C00025,2024-05-01,12,0,6
C00025,2024-08-01,15,1,4
C00025,2024-04-01,16,1,6
C00025,2024-10-01,19,0,8
C00025,2024-01-01,18,0,5
C00025,2024-09-01,17,1,5
C00025,2024-02-01,22,0,7
C00025,2024-11-01,22,0,6
C00025,2024-07-01,22,1,2
C00025,2024-03-01,21,2,5
C00025,2024-12-01,18,0,5
C00025,2024-06-01,22,0,8
C00026,2024-04-01,19,1,6
C00026,2024-01-01,21,2,5
C00026,2024-06-01,20,0,6
C00026,2024-12-01,21,1,6
C00026,2024-09-01,21,2,6
C00026,2024-05-01,17,0,7
C00026,2024-03-01,22,0,6
C00026,2024-02-01,25,0,6
C00026,2024-10-01,30,2,6
C00027,2024-08-01,17,0,4
C00027,2024-01-01,21,1,4
C00027,2024-03-01,18,0,5
C00027,2024-12-01,13,1,6
C00027,2024-10-01,13,1,5
C00027,2024-09-01,9,2,3
C00027,2024-05-01,17,0,6
C00027,2024-11-01,21,0,5
C00027,2024-06-01,18,2,3
C00028,2024-01-01,23,1,9
C00028,2024-04-01,16,0,6
C00028,2024-11-01,18,1,7
C00028,2024-12-01,21,1,4
C00028,2024-03-01,24,1,8
C00028,2024-09-01,18,1,5
C00028,2024-07-01,18,0,5
C00028,2024-06-01,24,1,4
C00028,2024-02-01,25,0,7
C00028,2024-10-01,17,0,4
C00028,2024-05-01,24,1,4
C00028,2024-08-01,21,1,6
C00029,2024-08-01,15,2,9
C00029,2024-06-01,30,0,5
C00029,2024-02-01,20,1,5
C00029,2024-07-01,24,0,7
C00029,2024-12-01,16,1,4
C00029,2024-05-01,24,2,10
C00029,2024-11-01,23,1,7
C00029,2024-01-01,17,0,7
C00029,2024-04-01,25,0,9
C00030,2024-07-01,22,3,6
C00030,2024-09-01,25,0,3
C00030,2024-01-01,19,1,8
C00030,2024-12-01,19,0,6
C00030,2024-05-01,21,0,9
C00030,2024-04-01,25,1,6
C00030,2024-03-01,22,1,8
C00031,2024-02-01,24,1,4
C00031,2024-07-01,12,1,7
C00031,2024-04-01,20,1,9
C00031,2024-08-01,13,2,4
C00031,2024-03-01,18,0,10
C00031,2024-11-01,25,1,7
C00031,2024-01-01,18,1,5
C00031,2024-12-01,20,0,9
C00031,2024-05-01,21,2,10
C00032,2024-08-01,25,2,6
C00032,2024-05-01,23,2,6
C00032,2024-10-01,13,0,5
C00032,2024-04-01,18,0,5
C00032,2024-06-01,22,1,6
C00032,2024-01-01,21,0,7
C00032,2024-07-01,16,1,8
C00032,2024-12-01,21,1,10
C00032,2024-09-01,30,2,4
C00033,2024-12-01,24,1,7
C00033,2024-06-01,18,2,6
C00033,2024-10-01,18,2,6
C00033,2024-01-01,21,1,6
C00033,2024-04-01,13,1,7
C00033,2024-07-01,14,0,8
C00034,2024-03-01,19,0,4
C00034,2024-07-01,26,1,10
C00034,2024-08-01,21,2,5
C00034,2024-02-01,18,2,4
C00034,2024-10-01,16,0,10
C00034,2024-06-01,22,0,6
C00034,2024-01-01,18,0,7
C00034,2024-04-01,13,1,4
C00034,2024-12-01,17,0,7
C00034,2024-11-01,19,1,2
C00034,2024-05-01,27,0,5
C00035,2024-01-01,28,0,5
C00035,2024-12-01,15,1,9
C00035,2024-09-01,17,1,8
C00035,2024-06-01,16,1,4
C00035,2024-03-01,27,0,8
C00035,2024-07-01,18,1,10
C00035,2024-08-01,23,1,4
C00035,2024-04-01,12,0,5
C00035,2024-05-01,21,2,9
C00035,2024-02-01,14,1,10
C00035,2024-11-01,23,1,8
C00036,2024-06-01,26,0,7
C00036,2024-01-01,21,0,10
C00036,2024-02-01,26,5,8
C00036,2024-05-01,15,3,5
C00036,2024-04-01,26,1,6
C00036,2024-03-01,15,0,6
C00036,2024-10-01,20,1,7
C00036,2024-08-01,31,1,5
C00036,2024-11-01,22,0,8
C00036,2024-09-01,14,1,6
C00037,2024-06-01,16,1,6
C00037,2024-10-01,24,1,7
C00037,2024-04-01,22,3,6
C00037,2024-02-01,17,1,5
C00037,2024-07-01,14,0,7
C00037,2024-12-01,21,2,5
C00037,2024-03-01,13,0,2
C00037,2024-11-01,20,1,7
C00038,2024-05-01,26,0,6
C00038,2024-02-01,21,2,8
C00038,2024-11-01,15,1,6
C00038,2024-04-01,20,1,8
C00038,2024-10-01,31,2,10
C00038,2024-12-01,19,1,7
C00038,2024-09-01,22,1,7
C00038,2024-01-01,7,1,3
C00039,2024-02-01,18,0,8
C00039,2024-10-01,22,1,7
C00039,2024-11-01,26,1,6
C00039,2024-07-01,20,2,5
C00039,2024-04-01,30,3,5
C00039,2024-06-01,19,2,7
C00039,2024-05-01,17,3,3
C00039,2024-01-01,18,1,6
C00039,2024-12-01,25,1,6
C00039,2024-09-01,25,0,4
C00039,2024-08-01,24,0,4
C00040,2024-03-01,21,0,6
C00040,2024-01-01,17,1,9
C00040,2024-04-01,24,1,6
C00040,2024-07-01,19,0,7
C00040,2024-10-01,23,0,6
C00040,2024-11-01,18,0,5
C00040,2024-09-01,10,1,6
C00041,2024-12-01,19,1,4
C00041,2024-07-01,19,0,4
C00041,2024-05-01,20,0,7
C00041,2024-08-01,14,2,4
C00041,2024-09-01,19,0,10
C00041,2024-01-01,16,3,5
C00042,2024-09-01,19,0,6
C00042,2024-06-01,23,0,4
C00042,2024-04-01,24,3,2
C00042,2024-07-01,20,0,9
C00042,2024-08-01,19,1,4
C00042,2024-05-01,17,0,10
C00042,2024-01-01,17,1,7
C00042,2024-02-01,22,1,5
C00042,2024-12-01,28,0,10
C00043,2024-02-01,13,0,5
C00043,2024-07-01,20,1,8
C00043,2024-10-01,14,0,9
C00043,2024-04-01,22,0,9
C00043,2024-08-01,26,0,9
C00043,2024-05-01,18,1,7
C00043,2024-01-01,22,1,5
C00043,2024-11-01,14,0,10
C00044,2024-07-01,20,2,4
C00044,2024-12-01,20,0,4
C00044,2024-10-01,22,1,3
C00044,2024-09-01,16,1,3
C00044,2024-05-01,19,4,6
C00044,2024-06-01,23,1,9
C00045,2024-03-01,20,1,7
C00045,2024-12-01,18,0,6
C00045,2024-11-01,11,2,10
C00045,2024-09-01,20,3,9
C00045,2024-07-01,23,0,8
C00045,2024-01-01,20,1,8
C00045,2024-02-01,18,2,7
C00046,2024-08-01,15,1,3
C00046,2024-01-01,23,0,5
C00046,2024-10-01,19,2,7
C00046,2024-07-01,25,1,4
C00046,2024-04-01,15,1,8
C00046,2024-03-01,24,0,6
C00046,2024-12-01,22,0,7
C00046,2024-02-01,19,2,10
C00047,2024-11-01,14,1,5
C00047,2024-03-01,18,3,5
C00047,2024-07-01,16,1,8
C00047,2024-05-01,26,1,8
C00047,2024-06-01,17,1,10
C00047,2024-04-01,18,0,6
C00047,2024-09-01,20,1,7
C00047,2024-01-01,20,3,10
C00047,2024-02-01,20,2,7
C00047,2024-08-01,22,1,7
C00047,2024-12-01,25,0,6
C00048,2024-07-01,16,1,9
C00048,2024-02-01,27,2,6
C00048,2024-09-01,20,1,5
C00048,2024-08-01,17,1,5
C00048,2024-11-01,29,0,8
C00048,2024-04-01,19,5,5
C00048,2024-05-01,17,0,6
C00048,2024-03-01,18,2,7
C00048,2024-06-01,22,0,6
C00048,2024-10-01,22,0,6
C00048,2024-12-01,20,0,8
C00048,2024-01-01,24,1,5
C00049,2024-05-01,17,1,7
C00049,2024-04-01,28,4,6
C00049,2024-12-01,23,2,8
C00049,2024-07-01,26,1,7
C00049,2024-11-01,23,0,6
C00049,2024-01-01,23,3,4
C00049,2024-09-01,21,0,6
C00049,2024-06-01,24,0,6
C00049,2024-02-01,21,0,8
C00049,2024-08-01,28,0,9
C00049,2024-10-01,19,2,3
C00050,2024-03-01,17,0,7
C00050,2024-04-01,23,0,4
C00050,2024-01-01,15,1,9
C00050,2024-05-01,13,1,7
C00050,2024-02-01,18,0,7
C00050,2024-12-01,17,3,9
C00050,2024-07-01,15,0,8
C00050,2024-09-01,25,1,8
C00050,2024-10-01,16,0,5
C00050,2024-06-01,21,1,6
C00050,2024-11-01,30,0,10
C00051,2024-04-01,15,0,7
C00051,2024-05-01,24,1,8
C00051,2024-10-01,17,2,8
C00051,2024-07-01,22,2,7
C00051,2024-09-01,13,1,7
C00051,2024-12-01,18,1,7
C00051,2024-11-01,14,0,9
C00051,2024-02-01,25,2,3
C00051,2024-03-01,24,3,9
C00052,2024-09-01,23,0,8
C00052,2024-02-01,14,0,6
C00052,2024-05-01,31,0,6
C00052,2024-08-01,17,0,5
C00052,2024-06-01,22,1,6
C00052,2024-11-01,17,1,6
C00052,2024-03-01,17,0,6
C00053,2024-03-01,23,1,5
C00053,2024-02-01,27,1,10
C00053,2024-08-01,17,0,3
C00053,2024-05-01,24,2,5
C00053,2024-12-01,16,0,3
C00053,2024-11-01,26,3,5
C00053,2024-10-01,15,2,9
C00053,2024-01-01,23,1,3
C00053,2024-06-01,20,1,7
C00054,2024-02-01,22,1,6
C00054,2024-05-01,21,1,7
C00054,2024-10-01,23,0,7
C00054,2024-01-01,28,2,7
C00054,2024-08-01,15,3,8
C00054,2024-12-01,27,0,5
C00054,2024-09-01,17,3,6
C00054,2024-04-01,27,1,10
C00054,2024-06-01,10,1,9
C00054,2024-03-01,16,1,5
C00054,2024-07-01,22,1,6
C00054,2024-11-01,18,1,10
C00055,2024-12-01,23,1,9
C00055,2024-10-01,22,1,10
C00055,2024-09-01,25,1,8
C00055,2024-02-01,19,2,7
C00055,2024-07-01,19,2,5
C00055,2024-03-01,16,0,7
C00055,2024-08-01,14,0,4
C00055,2024-05-01,19,1,9
C00056,2024-04-01,25,2,4
C00056,2024-06-01,9,0,7
C00056,2024-12-01,14,1,7
C00056,2024-02-01,19,1,3
C00056,2024-03-01,24,1,5
C00056,2024-09-01,23,1,8
C00056,2024-07-01,17,3,9
C00056,2024-01-01,26,0,6
C00057,2024-01-01,9,1,6
C00057,2024-05-01,21,0,5
C00057,2024-07-01,15,0,6
C00057,2024-09-01,23,3,6
C00057,2024-03-01,14,1,7
C00057,2024-12-01,28,4,6
C00057,2024-06-01,19,0,7
C00057,2024-10-01,24,1,4
C00057,2024-11-01,25,2,5
C00057,2024-02-01,16,1,8
C00058,2024-07-01,20,1,7
C00058,2024-12-01,16,1,4
C00058,2024-02-01,11,2,10
C00058,2024-09-01,15,3,8
C00058,2024-05-01,19,2,7
C00058,2024-08-01,22,0,9
C00058,2024-01-01,17,1,8
C00058,2024-03-01,9,0,5
C00058,2024-11-01,23,1,5
C00059,2024-04-01,23,2,7
C00059,2024-12-01,17,0,6
C00059,2024-03-01,31,5,7
C00059,2024-06-01,20,2,5
C00059,2024-09-01,21,1,10
C00059,2024-08-01,19,0,5
C00059,2024-10-01,16,2,5
C00059,2024-02-01,27,1,6
C00059,2024-01-01,25,0,7
C00060,2024-03-01,18,0,6
C00060,2024-06-01,20,1,5
C00060,2024-12-01,17,0,7
C00060,2024-11-01,12,1,7
C00060,2024-02-01,20,1,4
C00060,2024-08-01,17,1,5
C00060,2024-04-01,24,1,3
C00060,2024-10-01,27,0,10
C00060,2024-05-01,24,0,4
C00060,2024-09-01,17,1,8
C00060,2024-07-01,23,1,4
C00061,2024-08-01,18,0,8
C00061,2024-11-01,19,1,8
C00061,2024-09-01,23,1,5
C00061,2024-03-01,25,3,5
C00061,2024-01-01,23,3,8
C00061,2024-02-01,21,0,4
C00061,2024-05-01,10,3,6
C00062,2024-06-01,22,4,7
C00062,2024-07-01,27,0,5
C00062,2024-12-01,28,1,10
C00062,2024-04-01,23,2,4
C00062,2024-01-01,11,3,7
C00062,2024-08-01,31,0,8
C00062,2024-09-01,20,0,8
C00062,2024-10-01,20,1,5
C00062,2024-05-01,23,0,7
C00062,2024-02-01,17,2,8
C00062,2024-11-01,22,1,6
C00063,2024-12-01,24,0,4
C00063,2024-11-01,16,0,4
C00063,2024-09-01,23,0,6
C00063,2024-01-01,16,2,6
C00063,2024-04-01,20,0,7
C00063,2024-03-01,18,0,6
C00063,2024-07-01,20,0,10
C00063,2024-05-01,23,2,5
C00063,2024-02-01,22,0,6
C00063,2024-10-01,19,0,9
C00063,2024-06-01,19,1,4
C00064,2024-07-01,23,2,6
C00064,2024-01-01,23,4,8
C00064,2024-12-01,15,0,9
C00064,2024-05-01,20,1,6
C00064,2024-03-01,27,0,5
C00064,2024-11-01,25,1,6
C00064,2024-09-01,16,3,7
C00065,2024-07-01,21,2,5
C00065,2024-06-01,22,2,7
C00065,2024-03-01,12,1,9
C00065,2024-05-01,22,0,10
C00065,2024-08-01,19,0,7
C00065,2024-04-01,19,0,5
C00065,2024-12-01,16,0,5
C00065,2024-09-01,30,4,7
C00065,2024-01-01,15,0,8
C00065,2024-02-01,16,2,3
C00065,2024-10-01,18,0,6
C00066,2024-07-01,19,3,8
C00066,2024-11-01,18,0,9
C00066,2024-09-01,24,2,7
C00066,2024-06-01,16,1,9
C00066,2024-01-01,20,0,8
C00066,2024-03-01,20,1,8
C00066,2024-04-01,15,0,5
C00066,2024-08-01,25,1,5
C00067,2024-05-01,25,0,8
C00067,2024-07-01,18,1,7
C00067,2024-10-01,29,0,7
C00067,2024-06-01,16,0,4
C00067,2024-11-01,17,1,9
C00067,2024-01-01,17,1,7
C00067,2024-03-01,16,1,6
C00067,2024-09-01,27,2,8
C00067,2024-04-01,15,1,7
C00067,2024-12-01,23,0,8
C00068,2024-12-01,27,0,6
C00068,2024-08-01,23,1,8
C00068,2024-10-01,15,1,4
C00068,2024-01-01,20,3,6
C00068,2024-07-01,17,1,8
C00068,2024-04-01,24,1,5
C00069,2024-01-01,19,1,7
C00069,2024-05-01,17,0,6
C00069,2024-02-01,23,2,5
C00069,2024-07-01,15,0,5
C00069,2024-04-01,17,0,9
C00069,2024-06-01,16,0,4
C00069,2024-10-01,25,0,8
C00069,2024-03-01,11,1,5
C00069,2024-12-01,20,0,9
C00070,2024-11-01,27,0,6
C00070,2024-10-01,27,2,7
C00070,2024-05-01,21,1,10
C00070,2024-08-01,20,3,8
C00070,2024-04-01,23,1,6
C00070,2024-12-01,17,1,2
C00070,2024-09-01,22,2,6
C00070,2024-03-01,19,0,5
C00070,2024-02-01,20,0,9
C00070,2024-07-01,23,0,9
C00070,2024-06-01,16,0,8
C00070,2024-01-01,17,0,5
C00071,2024-06-01,33,0,5
C00071,2024-12-01,15,2,6
C00071,2024-05-01,19,1,9
C00071,2024-09-01,12,0,7
C00071,2024-10-01,27,1,9
C00071,2024-01-01,14,0,4
C00072,2024-04-01,17,1,9
C00072,2024-01-01,14,2,9
C00072,2024-02-01,17,0,6
C00072,2024-07-01,18,1,7
C00072,2024-08-01,20,1,8
C00072,2024-03-01,20,0,4
C00072,2024-11-01,21,0,8
C00072,2024-12-01,15,1,9
C00072,2024-06-01,20,2,7
C00072,2024-09-01,19,1,5
C00072,2024-05-01,16,2,8
C00073,2024-06-01,18,0,10
C00073,2024-04-01,18,2,10
C00073,2024-05-01,25,3,3
C00073,2024-08-01,24,2,9
C00073,2024-02-01,23,0,10
C00073,2024-10-01,27,1,5
C00073,2024-09-01,27,1,9
C00073,2024-03-01,15,0,5
C00074,2024-09-01,10,1,6
C00074,2024-05-01,16,1,7
C00074,2024-06-01,20,0,8
C00074,2024-08-01,18,0,4
C00074,2024-02-01,24,0,0
C00074,2024-10-01,21,1,9
C00074,2024-03-01,14,0,6
C00075,2024-03-01,30,1,4
C00075,2024-09-01,20,0,6
C00075,2024-02-01,22,0,4
C00075,2024-05-01,17,0,3
C00075,2024-08-01,15,1,5
C00075,2024-10-01,18,2,7
C00075,2024-06-01,21,1,6
C00075,2024-12-01,18,1,6
C00075,2024-04-01,22,1,9
C00076,2024-06-01,26,0,8
C00076,2024-09-01,12,2,8
C00076,2024-12-01,20,0,7
C00076,2024-11-01,13,0,4
C00076,2024-08-01,17,2,7
C00076,2024-02-01,24,2,7
C00076,2024-10-01,19,3,6
C00076,2024-01-01,12,1,9
C00076,2024-07-01,18,0,7
C00077,2024-09-01,14,0,6
C00077,2024-02-01,17,1,9
C00077,2024-07-01,19,2,6
C00077,2024-05-01,30,0,6
C00077,2024-01-01,23,1,8
C00077,2024-11-01,24,0,5
C00078,2024-01-01,14,2,9
C00078,2024-09-01,9,3,7
C00078,2024-03-01,14,5,7
C00078,2024-04-01,31,1,5
C00078,2024-10-01,13,2,6
C00078,2024-08-01,25,0,8
C00079,2024-02-01,24,1,6
C00079,2024-11-01,23,1,6
C00079,2024-07-01,14,1,6
C00079,2024-09-01,17,1,2
C00079,2024-12-01,22,1,7
C00079,2024-10-01,19,1,4
C00079,2024-04-01,28,1,6
C00079,2024-05-01,23,2,8
C00079,2024-01-01,16,0,5
C00080,2024-12-01,17,0,6
C00080,2024-11-01,24,1,2
C00080,2024-02-01,18,0,6
C00080,2024-01-01,24,4,9
C00080,2024-07-01,22,1,5
C00080,2024-04-01,20,2,2
C00080,2024-06-01,19,0,5
C00080,2024-05-01,22,4,5
C00081,2024-08-01,24,1,4
C00081,2024-03-01,15,1,3
C00081,2024-06-01,15,1,8
C00081,2024-07-01,20,0,6
C00081,2024-11-01,17,0,3
C00081,2024-09-01,15,2,7
C00081,2024-05-01,31,3,9
C00081,2024-10-01,20,2,7
C00082,2024-04-01,22,0,6
C00082,2024-10-01,23,1,6
C00082,2024-09-01,23,1,6
C00082,2024-12-01,23,0,5
C00082,2024-03-01,21,0,6
C00082,2024-01-01,24,2,8
C00082,2024-05-01,18,4,4
C00082,2024-02-01,15,0,10
C00083,2024-03-01,17,0,7
C00083,2024-08-01,23,1,7
C00083,2024-05-01,14,3,8
C00083,2024-07-01,15,0,7
C00083,2024-09-01,27,1,6
C00083,2024-11-01,16,0,6
C00083,2024-10-01,19,1,4
C00083,2024-02-01,28,1,5
C00083,2024-04-01,14,1,8
C00083,2024-12-01,26,2,10
C00083,2024-01-01,19,1,5
C00084,2024-07-01,24,3,8
C00084,2024-12-01,22,1,9
C00084,2024-05-01,24,1,5
C00084,2024-01-01,20,1,6
C00084,2024-02-01,16,2,6
C00084,2024-10-01,16,1,7
C00084,2024-08-01,25,2,7
C00084,2024-04-01,21,0,5
C00085,2024-12-01,16,2,10
C00085,2024-11-01,22,1,7
C00085,2024-01-01,11,2,8
C00085,2024-08-01,23,2,7
C00085,2024-10-01,13,1,3
C00085,2024-09-01,13,2,7
C00086,2024-03-01,23,0,4
C00086,2024-10-01,17,1,7
C00086,2024-07-01,11,3,6
C00086,2024-12-01,23,1,6
C00086,2024-08-01,17,1,6
C00086,2024-11-01,25,1,6
C00087,2024-08-01,18,1,5
C00087,2024-09-01,16,1,6
C00087,2024-11-01,20,1,4
C00087,2024-05-01,21,0,8
C00087,2024-03-01,19,0,5
C00087,2024-01-01,21,0,5
C00087,2024-07-01,22,3,9
C00087,2024-02-01,24,2,9
C00087,2024-04-01,22,2,7
C00088,2024-09-01,20,2,7
C00088,2024-05-01,16,1,9
C00088,2024-06-01,18,3,7
C00088,2024-10-01,19,0,7
C00088,2024-12-01,24,1,4
C00088,2024-01-01,25,1,6
C00088,2024-08-01,22,1,6
C00088,2024-07-01,24,0,8
C00088,2024-11-01,16,1,5
C00089,2024-08-01,23,3,2
C00089,2024-03-01,22,1,7
C00089,2024-05-01,19,2,9
C00089,2024-07-01,27,0,2
C00089,2024-12-01,23,3,6
C00089,2024-01-01,10,2,5
C00089,2024-10-01,19,0,8
C00089,2024-06-01,18,0,4
C00090,2024-10-01,20,1,6
C00090,2024-05-01,16,2,3
C00090,2024-08-01,15,1,7
C00090,2024-02-01,25,0,5
C00090,2024-01-01,22,0,8
C00090,2024-07-01,17,1,7
C00090,2024-11-01,12,3,3
C00090,2024-12-01,21,1,4
C00090,2024-03-01,28,1,6
C00090,2024-09-01,20,2,6
C00091,2024-07-01,18,1,6
C00091,2024-02-01,16,0,5
C00091,2024-06-01,22,3,5
C00091,2024-05-01,17,2,5
C00091,2024-04-01,21,2,9
C00091,2024-12-01,20,3,10
C00092,2024-02-01,20,1,8
C00092,2024-06-01,30,0,1
C00092,2024-11-01,24,1,5
C00092,2024-03-01,18,1,6
C00092,2024-10-01,23,2,4
C00092,2024-08-01,19,0,10
C00093,2024-07-01,16,1,7
C00093,2024-01-01,38,1,5
C00093,2024-09-01,26,1,10
C00093,2024-02-01,18,0,5
C00093,2024-03-01,22,1,7
C00093,2024-06-01,17,2,5
C00093,2024-10-01,19,0,7
