CustomerID,DataFatura,ReceitaMensal
C00009,2024-12-01,80
C00010,2024-01-01,60
C00010,2024-02-01,60
C00010,2024-03-01,60
C00010,2024-04-01,60
C00010,2024-05-01,60
C00010,2024-06-01,60
C00010,2024-07-01,60
C00010,2024-08-01,60
C00010,2024-09-01,60
C00011,2024-01-01,80
C00011,2024-02-01,80
C00011,2024-03-01,80
C00011,2024-04-01,80
C00011,2024-05-01,80
C00011,2024-06-01,80
C00011,2024-07-01,80
C00011,2024-08-01,80
C00011,2024-09-01,80
C00011,2024-10-01,80
C00011,2024-11-01,80
C00011,2024-12-01,80
C00012,2024-01-01,80
C00012,2024-02-01,80
C00012,2024-03-01,80
C00012,2024-04-01,80
C00013,2024-01-01,80
C00013,2024-02-01,80
C00013,2024-03-01,80
C00013,2024-04-01,80
C00013,2024-05-01,80
C00013,2024-06-01,80
C00013,2024-07-01,80
C00013,2024-08-01,80
C00013,2024-09-01,80
C00013,2024-10-01,80
C00013,2024-11-01,80
C00013,2024-12-01,80
C00014,2024-01-01,80
C00014,2024-02-01,80
C00014,2024-03-01,80
C00014,2024-04-01,80
C00014,2024-05-01,80
C00014,2024-06-01,80
C00014,2024-07-01,80
C00014,2024-08-01,80
C00015,2024-01-01,60
C00015,2024-02-01,60
C00015,2024-03-01,60
C00015,2024-04-01,60
C00015,2024-05-01,60
C00015,2024-06-01,60
C00015,2024-07-01,60
C00015,2024-08-01,60
C00015,2024-09-01,60
C00015,2024-10-01,60
C00015,2024-11-01,60
C00015,2024-12-01,60
C00016,2024-01-01,80
C00016,2024-02-01,80
C00016,2024-03-01,80
C00016,2024-04-01,80
C00016,2024-05-01,80
C00016,2024-06-01,80
C00016,2024-07-01,80
C00016,2024-08-01,80
C00016,2024-09-01,80
C00016,2024-10-01,80
C00016,2024-11-01,80
C00016,2024-12-01,80
C00017,2024-01-01,120
C00017,2024-02-01,120
C00017,2024-03-01,120
C00017,2024-04-01,120
C00017,2024-05-01,120
C00017,2024-06-01,120
C00017,2024-07-01,120
C00017,2024-08-01,120
C00017,2024-09-01,120
C00017,2024-10-01,120
C00017,2024-11-01,120
C00017,2024-12-01,120
C00018,2024-01-01,120
C00018,2024-02-01,120
C00018,2024-03-01,120
C00018,2024-04-01,120
C00018,2024-05-01,120
C00018,2024-06-01,120
C00018,2024-07-01,120
C00018,2024-08-01,120
C00018,2024-09-01,120
C00018,2024-10-01,120
C00018,2024-11-01,120
C00018,2024-12-01,120
C00019,2024-05-01,120
C00019,2024-06-01,120
C00020,2024-11-01,60
C00020,2024-12-01,60
C00021,2024-01-01,80
C00021,2024-02-01,80
C00021,2024-03-01,80
C00021,2024-04-01,80
C00021,2024-05-01,80
C00021,2024-06-01,80
C00021,2024-07-01,80
C00021,2024-08-01,80
C00021,2024-09-01,80
C00021,2024-10-01,80
C00021,2024-11-01,80
C00021,2024-12-01,80
C00022,2024-01-01,80
C00022,2024-02-01,80
C00022,2024-03-01,80
C00022,2024-04-01,80
C00022,2024-05-01,80
C00023,2024-01-01,60
C00023,2024-02-01,60
C00023,2024-03-01,60
C00023,2024-04-01,60
C00023,2024-05-01,60
C00023,2024-06-01,60
C00023,2024-07-01,60
C00023,2024-08-01,60
C00023,2024-09-01,60
C00023,2024-10-01,60
C00023,2024-11-01,60
C00023,2024-12-01,60
C00024,2024-01-01,120
C00024,2024-02-01,120
C00024,2024-03-01,120
C00024,2024-04-01,120
C00024,2024-05-01,120
C00024,2024-06-01,120
C00024,2024-07-01,120
C00024,2024-08-01,120
C00024,2024-09-01,120
C00024,2024-10-01,120
C00024,2024-11-01,120
C00024,2024-12-01,120
C00025,2024-01-01,80
C00025,2024-02-01,80
C00025,2024-03-01,80
C00025,2024-04-01,80
C00025,2024-05-01,80
C00026,2024-01-01,60
C00026,2024-02-01,60
C00026,2024-03-01,60
C00026,2024-04-01,60
C00026,2024-05-01,60
C00026,2024-06-01,60
C00026,2024-07-01,60
C00026,2024-08-01,60
C00026,2024-09-01,60
C00026,2024-10-01,60
C00026,2024-11-01,60
C00026,2024-12-01,60
C00027,2024-01-01,60
C00027,2024-02-01,60
C00027,2024-03-01,60
C00027,2024-04-01,60
C00027,2024-05-01,60
C00027,2024-06-01,60
C00027,2024-07-01,60
C00027,2024-08-01,60
C00027,2024-09-01,60
C00027,2024-10-01,60
C00027,2024-11-01,60
C00027,2024-12-01,60
C00028,2024-01-01,120
C00028,2024-02-01,120
C00028,2024-03-01,120
C00028,2024-04-01,120
C00028,2024-05-01,120
C00028,2024-06-01,120
C00028,2024-07-01,120
C00028,2024-08-01,120
C00028,2024-09-01,120
C00028,2024-10-01,120
C00028,2024-11-01,120
C00028,2024-12-01,120
C00029,2024-01-01,60
C00029,2024-02-01,60
C00029,2024-03-01,60
C00029,2024-04-01,60
C00029,2024-05-01,60
C00029,2024-06-01,60
C00029,2024-07-01,60
C00029,2024-08-01,60
C00029,2024-09-01,60
C00029,2024-10-01,60
C00029,2024-11-01,60
C00029,2024-12-01,60
C00030,2024-01-01,60
C00030,2024-02-01,60
C00030,2024-03-01,60
C00030,2024-04-01,60
C00030,2024-05-01,60
C00030,2024-06-01,60
C00030,2024-07-01,60
C00030,2024-08-01,60
C00030,2024-09-01,60
C00030,2024-10-01,60
C00030,2024-11-01,60
C00030,2024-12-01,60
C00031,2024-01-01,80
C00031,2024-02-01,80
C00031,2024-03-01,80
C00031,2024-04-01,80
C00031,2024-05-01,80
C00031,2024-06-01,80
C00031,2024-07-01,80
C00031,2024-08-01,80
C00031,2024-09-01,80
C00031,2024-10-01,80
C00031,2024-11-01,80
C00031,2024-12-01,80
C00032,2024-01-01,60
C00032,2024-02-01,60
C00032,2024-03-01,60
C00032,2024-04-01,60
C00032,2024-05-01,60
C00032,2024-06-01,60
C00032,2024-07-01,60
C00032,2024-08-01,60
C00032,2024-09-01,60
C00032,2024-10-01,60
C00032,2024-11-01,60
C00032,2024-12-01,60
C00033,2024-01-01,120
C00033,2024-02-01,120
C00033,2024-03-01,120
C00033,2024-04-01,120
C00033,2024-05-01,120
C00033,2024-06-01,120
C00034,2024-03-01,80
C00034,2024-04-01,80
C00034,2024-05-01,80
C00034,2024-06-01,80
C00034,2024-07-01,80
C00034,2024-08-01,80
C00034,2024-09-01,80
C00034,2024-10-01,80
C00034,2024-11-01,80
C00034,2024-12-01,80
C00035,2024-01-01,80
C00035,2024-02-01,80
C00035,2024-03-01,80
C00035,2024-04-01,80
C00035,2024-05-01,80
C00035,2024-06-01,80
C00035,2024-07-01,80
C00037,2024-01-01,80
C00037,2024-02-01,80
C00037,2024-03-01,80
C00037,2024-04-01,80
C00037,2024-05-01,80
C00037,2024-06-01,80
C00037,2024-07-01,80
C00037,2024-08-01,80
C00037,2024-09-01,80
C00037,2024-10-01,80
C00037,2024-11-01,80
C00037,2024-12-01,80
C00038,2024-07-01,60
C00038,2024-08-01,60
C00038,2024-09-01,60
C00038,2024-10-01,60
C00038,2024-11-01,60
C00038,2024-12-01,60
C00039,2024-01-01,80
C00039,2024-02-01,80
C00039,2024-03-01,80
C00039,2024-04-01,80
C00039,2024-05-01,80
C00039,2024-06-01,80
C00039,2024-07-01,80
C00039,2024-08-01,80
C00039,2024-09-01,80
C00039,2024-10-01,80
C00039,2024-11-01,80
C00039,2024-12-01,80
C00040,2024-01-01,80
C00040,2024-02-01,80
C00040,2024-03-01,80
C00040,2024-04-01,80
C00040,2024-05-01,80
C00040,2024-06-01,80
C00040,2024-07-01,80
C00040,2024-08-01,80
C00040,2024-09-01,80
C00041,2024-01-01,60
C00041,2024-02-01,60
C00041,2024-03-01,60
C00041,2024-04-01,60
C00041,2024-05-01,60
C00041,2024-06-01,60
C00041,2024-07-01,60
C00041,2024-08-01,60
C00041,2024-09-01,60
C00041,2024-10-01,60
C00041,2024-11-01,60
C00041,2024-12-01,60
C00042,2024-01-01,80
C00042,2024-02-01,80
C00042,2024-03-01,80
C00042,2024-04-01,80
C00042,2024-05-01,80
C00042,2024-06-01,80
C00042,2024-07-01,80
C00042,2024-08-01,80
C00042,2024-09-01,80
C00042,2024-10-01,80
C00042,2024-11-01,80
C00042,2024-12-01,80
C00043,2024-01-01,120
C00043,2024-02-01,120
C00043,2024-03-01,120
C00043,2024-04-01,120
C00043,2024-05-01,120
C00043,2024-06-01,120
C00043,2024-07-01,120
C00043,2024-08-01,120
C00043,2024-09-01,120
C00043,2024-10-01,120
C00043,2024-11-01,120
C00043,2024-12-01,120
C00044,2024-01-01,80
C00044,2024-02-01,80
C00044,2024-03-01,80
C00044,2024-04-01,80
C00044,2024-05-01,80
C00044,2024-06-01,80
C00044,2024-07-01,80
C00044,2024-08-01,80
C00044,2024-09-01,80
C00044,2024-10-01,80
C00044,2024-11-01,80
C00044,2024-12-01,80
C00045,2024-11-01,120
C00045,2024-12-01,120
C00046,2024-01-01,80
C00046,2024-02-01,80
C00046,2024-03-01,80
C00046,2024-04-01,80
C00046,2024-05-01,80
C00046,2024-06-01,80
C00046,2024-07-01,80
C00046,2024-08-01,80
C00046,2024-09-01,80
C00046,2024-10-01,80
C00046,2024-11-01,80
C00046,2024-12-01,80
C00049,2024-01-01,60
C00049,2024-02-01,60
C00049,2024-03-01,60
C00049,2024-04-01,60
C00049,2024-05-01,60
C00049,2024-06-01,60
C00049,2024-07-01,60
C00049,2024-08-01,60
C00049,2024-09-01,60
C00049,2024-10-01,60
C00049,2024-11-01,60
C00049,2024-12-01,60
C00050,2024-01-01,60
C00050,2024-02-01,60
C00050,2024-03-01,60
C00050,2024-04-01,60
C00050,2024-05-01,60
C00050,2024-06-01,60
C00050,2024-07-01,60
C00050,2024-08-01,60
C00050,2024-09-01,60
C00050,2024-10-01,60
C00050,2024-11-01,60
C00050,2024-12-01,60
C00051,2024-01-01,80
C00051,2024-02-01,80
C00051,2024-03-01,80
C00051,2024-04-01,80
C00051,2024-05-01,80
C00052,2024-01-01,80
C00053,2024-01-01,60
C00053,2024-02-01,60
C00053,2024-03-01,60
C00053,2024-04-01,60
C00053,2024-05-01,60
C00054,2024-01-01,60
C00054,2024-02-01,60
C00054,2024-03-01,60
C00054,2024-04-01,60
C00054,2024-05-01,60
C00054,2024-06-01,60
C00054,2024-07-01,60
C00054,2024-08-01,60
C00054,2024-09-01,60
C00054,2024-10-01,60
C00054,2024-11-01,60
C00054,2024-12-01,60
C00056,2024-01-01,80
C00056,2024-02-01,80
C00056,2024-03-01,80
C00056,2024-04-01,80
C00056,2024-05-01,80
C00056,2024-06-01,80
C00056,2024-07-01,80
C00056,2024-08-01,80
C00056,2024-09-01,80
C00056,2024-10-01,80
C00056,2024-11-01,80
C00056,2024-12-01,80
C00057,2024-03-01,120
C00057,2024-04-01,120
C00057,2024-05-01,120
C00057,2024-06-01,120
C00057,2024-07-01,120
C00057,2024-08-01,120
C00057,2024-09-01,120
C00057,2024-10-01,120
C00057,2024-11-01,120
C00057,2024-12-01,120
C00058,2024-01-01,120
C00058,2024-02-01,120
C00058,2024-03-01,120
C00058,2024-04-01,120
C00058,2024-05-01,120
C00058,2024-06-01,120
C00058,2024-07-01,120
C00058,2024-08-01,120
C00058,2024-09-01,120
C00058,2024-10-01,120
C00058,2024-11-01,120
C00058,2024-12-01,120
C00059,2024-05-01,80
C00059,2024-06-01,80
C00059,2024-07-01,80
C00059,2024-08-01,80
C00059,2024-09-01,80
C00059,2024-10-01,80
C00059,2024-11-01,80
C00059,2024-12-01,80
C00060,2024-01-01,120
C00060,2024-02-01,120
C00060,2024-03-01,120
C00061,2024-01-01,80
C00061,2024-02-01,80
C00061,2024-03-01,80
C00061,2024-04-01,80
C00061,2024-05-01,80
C00061,2024-06-01,80
C00061,2024-07-01,80
C00061,2024-08-01,80
C00061,2024-09-01,80
C00061,2024-10-01,80
C00061,2024-11-01,80
C00061,2024-12-01,80
C00063,2024-01-01,60
C00063,2024-02-01,60
C00063,2024-03-01,60
C00063,2024-04-01,60
C00063,2024-05-01,60
C00063,2024-06-01,60
C00063,2024-07-01,60
C00063,2024-08-01,60
C00063,2024-09-01,60
C00063,2024-10-01,60
C00063,2024-11-01,60
C00063,2024-12-01,60
C00064,2024-01-01,80
C00064,2024-02-01,80
C00064,2024-03-01,80
C00064,2024-04-01,80
C00064,2024-05-01,80
C00064,2024-06-01,80
C00064,2024-07-01,80
C00064,2024-08-01,80
C00064,2024-09-01,80
C00064,2024-10-01,80
C00064,2024-11-01,80
C00064,2024-12-01,80
C00065,2024-09-01,60
C00065,2024-10-01,60
C00065,2024-11-01,60
C00065,2024-12-01,60
C00066,2024-01-01,80
C00066,2024-02-01,80
C00066,2024-03-01,80
C00066,2024-04-01,80
C00066,2024-05-01,80
C00066,2024-06-01,80
C00066,2024-07-01,80
C00066,2024-08-01,80
C00066,2024-09-01,80
C00066,2024-10-01,80
C00066,2024-11-01,80
C00066,2024-12-01,80
C00067,2024-01-01,80
C00067,2024-02-01,80
C00067,2024-03-01,80
C00067,2024-04-01,80
C00067,2024-05-01,80
C00067,2024-06-01,80
C00067,2024-07-01,80
C00067,2024-08-01,80
C00067,2024-09-01,80
C00067,2024-10-01,80
C00067,2024-11-01,80
C00067,2024-12-01,80
C00068,2024-01-01,80
C00068,2024-02-01,80
C00068,2024-03-01,80
C00068,2024-04-01,80
C00068,2024-05-01,80
C00068,2024-06-01,80
C00068,2024-07-01,80
C00068,2024-08-01,80
C00068,2024-09-01,80
C00068,2024-10-01,80
C00068,2024-11-01,80
C00068,2024-12-01,80
C00069,2024-01-01,120
C00069,2024-02-01,120
C00069,2024-03-01,120
C00069,2024-04-01,120
C00069,2024-05-01,120
C00069,2024-06-01,120
C00069,2024-07-01,120
C00069,2024-08-01,120
C00069,2024-09-01,120
C00069,2024-10-01,120
C00069,2024-11-01,120
C00069,2024-12-01,120
C00070,2024-01-01,80
C00070,2024-02-01,80
C00070,2024-03-01,80
C00070,2024-04-01,80
C00070,2024-05-01,80
C00070,2024-06-01,80
C00070,2024-07-01,80
C00070,2024-08-01,80
C00070,2024-09-01,80
C00070,2024-10-01,80
C00070,2024-11-01,80
C00070,2024-12-01,80
C00071,2024-01-01,60
C00071,2024-02-01,60
C00071,2024-03-01,60
C00071,2024-04-01,60
C00071,2024-05-01,60
C00071,2024-06-01,60
C00071,2024-07-01,60
C00071,2024-08-01,60
C00071,2024-09-01,60
C00072,2024-01-01,80
C00072,2024-02-01,80
C00072,2024-03-01,80
C00072,2024-04-01,80
C00072,2024-05-01,80
C00072,2024-06-01,80
C00072,2024-07-01,80
C00072,2024-08-01,80
C00072,2024-09-01,80
C00072,2024-10-01,80
C00072,2024-11-01,80
C00072,2024-12-01,80
C00073,2024-06-01,80
C00073,2024-07-01,80
C00073,2024-08-01,80
C00073,2024-09-01,80
C00073,2024-10-01,80
C00073,2024-11-01,80
C00073,2024-12-01,80
C00074,2024-01-01,60
C00074,2024-02-01,60
C00074,2024-03-01,60
C00074,2024-04-01,60
C00074,2024-05-01,60
C00074,2024-06-01,60
C00074,2024-07-01,60
C00074,2024-08-01,60
C00074,2024-09-01,60
C00074,2024-10-01,60
C00074,2024-11-01,60
C00074,2024-12-01,60
C00076,2024-01-01,80
C00076,2024-02-01,80
C00076,2024-03-01,80
C00076,2024-04-01,80
C00076,2024-05-01,80
C00076,2024-06-01,80
C00076,2024-07-01,80
C00076,2024-08-01,80
C00076,2024-09-01,80
C00076,2024-10-01,80
C00076,2024-11-01,80
C00076,2024-12-01,80
C00077,2024-02-01,120
C00077,2024-03-01,120
C00077,2024-04-01,120
C00077,2024-05-01,120
C00077,2024-06-01,120
C00077,2024-07-01,120
C00077,2024-08-01,120
C00077,2024-09-01,120
C00077,2024-10-01,120
C00077,2024-11-01,120
C00077,2024-12-01,120
C00078,2024-01-01,80
C00078,2024-02-01,80
C00078,2024-03-01,80
C00078,2024-04-01,80
C00079,2024-01-01,120
C00079,2024-02-01,120
C00079,2024-03-01,120
C00079,2024-04-01,120
C00079,2024-05-01,120
C00079,2024-06-01,120
C00079,2024-07-01,120
C00079,2024-08-01,120
C00079,2024-09-01,120
C00079,2024-10-01,120
C00079,2024-11-01,120
C00079,2024-12-01,120
C00080,2024-01-01,120
C00080,2024-02-01,120
C00080,2024-03-01,120
C00080,2024-04-01,120
C00080,2024-05-01,120
C00080,2024-06-01,120
C00080,2024-07-01,120
C00080,2024-08-01,120
C00080,2024-09-01,120
C00080,2024-10-01,120
C00080,2024-11-01,120
C00080,2024-12-01,120
C00081,2024-01-01,60
C00081,2024-02-01,60
C00081,2024-03-01,60
C00081,2024-04-01,60
C00081,2024-05-01,60
C00081,2024-06-01,60
C00081,2024-07-01,60
C00082,2024-01-01,80
C00082,2024-02-01,80
C00082,2024-03-01,80
C00082,2024-04-01,80
C00082,2024-05-01,80
C00082,2024-06-01,80
C00082,2024-07-01,80
C00082,2024-08-01,80
C00082,2024-09-01,80
C00082,2024-10-01,80
C00082,2024-11-01,80
C00082,2024-12-01,80
C00083,2024-01-01,80
C00083,2024-02-01,80
C00083,2024-03-01,80
C00083,2024-04-01,80
C00083,2024-05-01,80
C00083,2024-06-01,80
C00083,2024-07-01,80
C00083,2024-08-01,80
C00083,2024-09-01,80
C00083,2024-10-01,80
C00083,2024-11-01,80
C00083,2024-12-01,80
C00084,2024-01-01,60
C00084,2024-02-01,60
C00084,2024-03-01,60
C00084,2024-04-01,60
C00084,2024-05-01,60
C00084,2024-06-01,60
C00084,2024-07-01,60
C00084,2024-08-01,60
C00084,2024-09-01,60
C00084,2024-10-01,60
C00084,2024-11-01,60
C00084,2024-12-01,60
C00085,2024-01-01,80
C00086,2024-12-01,80
C00087,2024-01-01,60
C00087,2024-02-01,60
C00087,2024-03-01,60
C00087,2024-04-01,60
C00087,2024-05-01,60
C00087,2024-06-01,60
C00087,2024-07-01,60
C00087,2024-08-01,60
C00087,2024-09-01,60
C00087,2024-10-01,60
C00087,2024-11-01,60
C00087,2024-12-01,60
C00088,2024-01-01,120
C00088,2024-02-01,120
C00088,2024-03-01,120
C00088,2024-04-01,120
C00088,2024-05-01,120
C00088,2024-06-01,120
C00088,2024-07-01,120
C00088,2024-08-01,120
C00088,2024-09-01,120
C00088,2024-10-01,120
C00088,2024-11-01,120
C00088,2024-12-01,120
C00089,2024-01-01,80
C00089,2024-02-01,80
C00089,2024-03-01,80
C00089,2024-04-01,80
C00090,2024-11-01,120
C00090,2024-12-01,120
C00091,2024-01-01,60
C00091,2024-02-01,60
C00091,2024-03-01,60
C00091,2024-04-01,60
C00091,2024-05-01,60
C00091,2024-06-01,60
C00091,2024-07-01,60
C00091,2024-08-01,60
C00091,2024-09-01,60
C00091,2024-10-01,60
C00091,2024-11-01,60
C00091,2024-12-01,60
C00093,2024-03-01,60
C00093,2024-04-01,60
C00093,2024-05-01,60
C00093,2024-06-01,60
C00093,2024-07-01,60
C00093,2024-08-01,60
C00093,2024-09-01,60
C00093,2024-10-01,60
C00093,2024-11-01,60
C00093,2024-12-01,60
C00094,2024-01-01,60
C00094,2024-02-01,60
C00094,2024-03-01,60
C00094,2024-04-01,60
C00094,2024-05-01,60
C00094,2024-06-01,60
C00094,2024-07-01,60
C00094,2024-08-01,60
C00094,2024-09-01,60
C00095,2024-06-01,80
C00095,2024-07-01,80
C00095,2024-08-01,80
C00095,2024-09-01,80
C00095,2024-10-01,80
C00095,2024-11-01,80
C00095,2024-12-01,80
C00096,2024-02-01,80
C00096,2024-03-01,80
C00096,2024-04-01,80
C00096,2024-05-01,80
C00096,2024-06-01,80
C00096,2024-07-01,80
C00096,2024-08-01,80
C00097,2024-01-01,80
C00097,2024-02-01,80
C00097,2024-03-01,80
C00097,2024-04-01,80
C00097,2024-05-01,80
C00097,2024-06-01,80
C00097,2024-07-01,80
C00097,2024-08-01,80
C00097,2024-09-01,80
C00097,2024-10-01,80
C00097,2024-11-01,80
C00097,2024-12-01,80
C00098,2024-01-01,80
C00099,2024-01-01,60
C00099,2024-02-01,60
C00099,2024-03-01,60
C00099,2024-04-01,60
C00099,2024-05-01,60
C00099,2024-06-01,60
C00099,2024-07-01,60
C00099,2024-08-01,60
C00099,2024-09-01,60
C00099,2024-10-01,60
C00099,2024-11-01,60
C00099,2024-12-01,60
C00100,2024-01-01,80
C00100,2024-02-01,80
C00100,2024-03-01,80
C00100,2024-04-01,80
C00100,2024-05-01,80
C00100,2024-06-01,80
C00100,2024-07-01,80
C00100,2024-08-01,80
C00100,2024-09-01,80
C00100,2024-10-01,80
C00100,2024-11-01,80
C00100,2024-12-01,80
C00101,2024-01-01,80
C00101,2024-02-01,80
C00101,2024-03-01,80
C00101,2024-04-01,80
C00103,2024-10-01,80
C00103,2024-11-01,80
C00103,2024-12-01,80
C00104,2024-01-01,120
C00104,2024-02-01,120
C00104,2024-03-01,120
C00104,2024-04-01,120
C00104,2024-05-01,120
C00104,2024-06-01,120
C00104,2024-07-01,120
C00104,2024-08-01,120
C00104,2024-09-01,120
C00104,2024-10-01,120
C00104,2024-11-01,120
C00104,2024-12-01,120
C00105,2024-01-01,80
C00105,2024-02-01,80
C00105,2024-03-01,80
C00105,2024-04-01,80
C00105,2024-05-01,80
C00105,2024-06-01,80
C00105,2024-07-01,80
C00105,2024-08-01,80
C00105,2024-09-01,80
C00105,2024-10-01,80
C00105,2024-11-01,80
C00105,2024-12-01,80
C00106,2024-01-01,80
C00106,2024-02-01,80
C00106,2024-03-01,80
C00106,2024-04-01,80
C00106,2024-05-01,80
C00107,2024-01-01,120
C00107,2024-02-01,120
C00107,2024-03-01,120
C00107,2024-04-01,120
C00107,2024-05-01,120
C00107,2024-06-01,120
C00107,2024-07-01,120
C00107,2024-08-01,120
C00107,2024-09-01,120
C00107,2024-10-01,120
C00107,2024-11-01,120
C00107,2024-12-01,120
C00108,2024-01-01,80
C00108,2024-02-01,80
C00108,2024-03-01,80
C00108,2024-04-01,80
C00108,2024-05-01,80
C00108,2024-06-01,80
C00108,2024-07-01,80
C00108,2024-08-01,80
C00108,2024-09-01,80
C00108,2024-10-01,80
C00108,2024-11-01,80
C00108,2024-12-01,80
C00109,2024-06-01,60
C00109,2024-07-01,60
C00109,2024-08-01,60
C00109,2024-09-01,60
C00109,2024-10-01,60
C00109,2024-11-01,60
C00109,2024-12-01,60
C00110,2024-01-01,60
C00110,2024-02-01,60
C00110,2024-03-01,60
C00110,2024-04-01,60
C00110,2024-05-01,60
C00111,2024-10-01,80
C00111,2024-11-01,80
C00111,2024-12-01,80
C00112,2024-01-01,60
C00112,2024-02-01,60
C00112,2024-03-01,60
C00112,2024-04-01,60
C00112,2024-05-01,60
C00112,2024-06-01,60
C00112,2024-07-01,60
C00112,2024-08-01,60
C00112,2024-09-01,60
C00112,2024-10-01,60
C00112,2024-11-01,60
C00112,2024-12-01,60
C00113,2024-02-01,80
C00113,2024-03-01,80
C00113,2024-04-01,80
C00113,2024-05-01,80
C00113,2024-06-01,80
C00113,2024-07-01,80
C00113,2024-08-01,80
C00113,2024-09-01,80
C00113,2024-10-01,80
C00113,2024-11-01,80
C00113,2024-12-01,80
C00114,2024-01-01,60
C00114,2024-02-01,60
C00114,2024-03-01,60
C00114,2024-04-01,60
C00114,2024-05-01,60
C00114,2024-06-01,60
C00114,2024-07-01,60
C00114,2024-08-01,60
C00114,2024-09-01,60
C00114,2024-10-01,60
C00114,2024-11-01,60
C00114,2024-12-01,60
C00115,2024-07-01,60
C00115,2024-08-01,60
C00115,2024-09-01,60
C00115,2024-10-01,60
C00115,2024-11-01,60
C00115,2024-12-01,60
C00116,2024-01-01,80
C00116,2024-02-01,80
C00116,2024-03-01,80
C00116,2024-04-01,80
C00116,2024-05-01,80
C00117,2024-05-01,120
C00117,2024-06-01,120
C00117,2024-07-01,120
C00117,2024-08-01,120
C00117,2024-09-01,120
C00117,2024-10-01,120
C00117,2024-11-01,120
C00117,2024-12-01,120
C00118,2024-01-01,80
C00118,2024-02-01,80
C00118,2024-03-01,80
C00118,2024-04-01,80
C00118,2024-05-01,80
C00118,2024-06-01,80
C00118,2024-07-01,80
C00118,2024-08-01,80
C00118,2024-09-01,80
C00118,2024-10-01,80
C00118,2024-11-01,80
C00118,2024-12-01,80
C00119,2024-01-01,120
C00119,2024-02-01,120
C00119,2024-03-01,120
C00120,2024-01-01,120
C00120,2024-02-01,120
C00120,2024-03-01,120
C00120,2024-04-01,120
C00120,2024-05-01,120
C00120,2024-06-01,120
C00120,2024-07-01,120
C00120,2024-08-01,120
C00120,2024-09-01,120
C00120,2024-10-01,120
C00120,2024-11-01,120
C00120,2024-12-01,120
C00121,2024-01-01,60
C00121,2024-02-01,60
C00121,2024-03-01,60
C00121,2024-04-01,60
C00121,2024-05-01,60
C00121,2024-06-01,60
C00121,2024-07-01,60
C00121,2024-08-01,60
C00121,2024-09-01,60
C00121,2024-10-01,60
C00121,2024-11-01,60
C00121,2024-12-01,60
C00122,2024-01-01,60
C00122,2024-02-01,60
C00122,2024-03-01,60
C00124,2024-01-01,120
C00124,2024-02-01,120
C00124,2024-03-01,120
C00124,2024-04-01,120
C00124,2024-05-01,120
C00124,2024-06-01,120
C00124,2024-07-01,120
C00124,2024-08-01,120
C00124,2024-09-01,120
C00124,2024-10-01,120
C00124,2024-11-01,120
C00124,2024-12-01,120
C00125,2024-05-01,80
C00125,2024-06-01,80
C00125,2024-07-01,80
C00125,2024-08-01,80
C00125,2024-09-01,80
C00126,2024-01-01,120
C00126,2024-02-01,120
C00126,2024-03-01,120
C00126,2024-04-01,120
C00126,2024-05-01,120
C00126,2024-06-01,120
C00126,2024-07-01,120
C00126,2024-08-01,120
C00126,2024-09-01,120
C00126,2024-10-01,120
C00126,2024-11-01,120
C00126,2024-12-01,120
C00127,2024-01-01,60
C00127,2024-02-01,60
