CustomerID,NomeCliente,Genero,Idade,Regiao,DataInicio,DataCancelamento,MotivoCancelamento,Plano,ValorMensal,CanalAquisicao
C00088,Cliente 88,M,55,Sul,2022-02-13,,,Premium,120,Indicação
C00089,Cliente 89,F,33,Sudeste,2020-11-26,2024-04-27,Uso baixo,Standard,80,Indicação
C00090,Cliente 90,F,19,Sul,2024-10-31,,,Premium,120,Google Ads
C00091,Cliente 91,F,57,Sudeste,2022-01-20,,,Basic,60,Google Ads
C00092,Cliente 92,F,34,Sul,2024-12-15,,,Premium,120,Google Ads
C00093,Cliente 93,F,51,Sudeste,2024-02-26,,,Basic,60,Google Ads
C00094,Cliente 94,F,59,Sudeste,2023-03-12,2024-09-14,Concorrência,Basic,60,Facebook
C00095,Cliente 95,F,33,Nordeste,2024-05-24,,,Standard,80,Facebook
C00096,Cliente 96,F,55,Sudeste,2024-01-08,2024-08-24,Serviço,Standard,80,Google Ads
C00097,Cliente 97,F,19,Sudeste,2022-04-03,,,Standard,80,Google Ads
C00098,Cliente 98,F,19,Nordeste,2021-01-28,2024-01-21,Serviço,Standard,80,Online
C00099,Cliente 99,F,43,Norte,2021-05-26,,,Basic,60,Online
C00100,Cliente 100,M,30,Norte,2021-11-16,,,Standard,80,Online
C00101,Cliente 101,M,64,Nordeste,2021-09-12,2024-04-05,Serviço,Standard,80,Indicação
C00102,Cliente 102,F,48,Centro-Oeste,2024-10-04,2024-01-13,Preço,Standard,80,Facebook
C00103,Cliente 103,F,51,Sudeste,2024-09-16,,,Standard,80,Facebook
C00104,Cliente 104,F,56,Sudeste,2023-09-13,,,Premium,120,Online
C00105,Cliente 105,F,20,Nordeste,2021-08-26,,,Standard,80,Online
C00106,Cliente 106,F,25,Nordeste,2023-07-06,2024-05-29,Preço,Standard,80,Facebook
C00107,Cliente 107,F,40,Centro-Oeste,2023-12-31,,,Premium,120,Indicação
C00108,Cliente 108,F,31,Norte,2021-12-18,,,Standard,80,Online
C00109,Cliente 109,F,44,Sul,2024-05-06,,,Basic,60,Google Ads
C00110,Cliente 110,M,46,Norte,2020-12-14,2024-05-31,Uso baixo,Basic,60,Online
C00111,Cliente 111,F,56,Sudeste,2024-09-12,,,Standard,80,Facebook
C00112,Cliente 112,M,56,Nordeste,2021-05-29,,,Basic,60,Facebook
C00113,Cliente 113,F,18,Centro-Oeste,2024-01-12,,,Standard,80,Online
C00114,Cliente 114,F,34,Norte,2021-02-02,,,Basic,60,Online
C00115,Cliente 115,M,58,Centro-Oeste,2024-06-07,,,Basic,60,Google Ads
C00116,Cliente 116,F,47,Norte,2020-08-01,2024-05-29,Preço,Standard,80,Google Ads
C00117,Cliente 117,M,30,Sudeste,2024-04-18,2024-12-29,Uso baixo,Premium,120,Indicação
C00118,Cliente 118,F,38,Sul,2021-07-15,,,Standard,80,Indicação
C00119,Cliente 119,F,36,Centro-Oeste,2023-08-05,2024-03-30,Uso baixo,Premium,120,Google Ads
C00120,Cliente 120,M,36,Centro-Oeste,2023-07-06,,,Premium,120,Indicação
C00121,Cliente 121,F,42,Sul,2020-09-14,,,Basic,60,Indicação
C00122,Cliente 122,M,39,Centro-Oeste,2023-11-12,2024-03-23,Uso baixo,Basic,60,Online
C00123,Cliente 123,F,48,Centro-Oeste,2024-12-12,,,Standard,80,Google Ads
C00124,Cliente 124,M,34,Norte,2021-11-24,,,Premium,120,Online
C00125,Cliente 125,M,40,Norte,2024-04-17,2024-09-06,Uso baixo,Standard,80,Online
C00126,Cliente 126,F,49,Sul,2023-07-12,,,Premium,120,Indicação
C00127,Cliente 127,F,27,Sudeste,2023-08-29,2024-02-02,Concorrência,Basic,60,Online
C00128,Cliente 128,M,27,Centro-Oeste,2022-11-29,2024-05-28,Uso baixo,Basic,60,Facebook
C00129,Cliente 129,F,53,Sudeste,2022-09-24,,,Standard,80,Indicação
C00130,Cliente 130,F,25,Sul,2022-03-30,,,Standard,80,Facebook
C00131,Cliente 131,F,37,Sul,2020-07-28,,,Basic,60,Indicação
C00132,Cliente 132,M,49,Norte,2020-09-28,,,Basic,60,Online
C00133,Cliente 133,M,31,Centro-Oeste,2023-03-05,,,Basic,60,Indicação
C00134,Cliente 134,M,45,Nordeste,2021-08-21,2024-04-09,Preço,Standard,80,Facebook
C00135,Cliente 135,M,63,Sul,2022-12-19,,,Premium,120,Indicação
C00136,Cliente 136,M,41,Centro-Oeste,2024-03-13,,,Premium,120,Facebook
C00137,Cliente 137,M,32,Sudeste,2024-08-26,,,Standard,80,Google Ads
C00138,Cliente 138,M,39,Norte,2024-03-18,,,Standard,80,Online
C00139,Cliente 139,M,47,Sudeste,2022-11-04,2024-12-27,Preço,Standard,80,Facebook
C00140,Cliente 140,M,21,Sul,2024-06-25,,,Basic,60,Google Ads
C00141,Cliente 141,F,30,Sul,2022-10-19,2024-11-23,Uso baixo,Basic,60,Online
C00142,Cliente 142,M,40,Sudeste,2020-09-11,,,Basic,60,Google Ads
C00143,Cliente 143,F,25,Sul,2022-01-06,,,Premium,120,Facebook
C00144,Cliente 144,F,35,Centro-Oeste,2021-12-22,,,Premium,120,Online
C00145,Cliente 145,F,29,Sul,2021-06-18,,,Standard,80,Google Ads
C00146,Cliente 146,M,48,Norte,2023-06-12,,,Standard,80,Facebook
C00147,Cliente 147,M,31,Centro-Oeste,2023-02-28,,,Basic,60,Google Ads
C00148,Cliente 148,M,51,Nordeste,2024-08-20,2024-03-14,Uso baixo,Standard,80,Online
C00149,Cliente 149,M,35,Sul,2024-09-04,,,Standard,80,Online
C00150,Cliente 150,F,51,Sul,2022-10-20,2024-04-01,Serviço,Standard,80,Online
C00151,Cliente 151,M,28,Norte,2020-01-17,,,Basic,60,Facebook
C00152,Cliente 152,M,58,Norte,2022-05-31,,,Premium,120,Google Ads
C00153,Cliente 153,M,29,Sudeste,2022-08-11,,,Standard,80,Google Ads
C00154,Cliente 154,M,32,Sudeste,2022-04-05,,,Premium,120,Facebook
C00155,Cliente 155,M,48,Sudeste,2022-09-18,2024-11-23,Uso baixo,Premium,120,Online
C00156,Cliente 156,F,46,Norte,2022-05-27,,,Premium,120,Indicação
C00157,Cliente 157,M,43,Sudeste,2020-07-03,,,Basic,60,Online
C00158,Cliente 158,F,35,Sudeste,2023-11-15,,,Basic,60,Indicação
C00159,Cliente 159,M,49,Nordeste,2023-12-17,,,Basic,60,Online
C00160,Cliente 160,F,39,Sudeste,2024-01-05,2024-06-23,Preço,Basic,60,Facebook
C00161,Cliente 161,M,55,Sul,2024-09-15,,,Standard,80,Indicação
C00162,Cliente 162,M,34,Norte,2024-08-05,,,Standard,80,Facebook
C00163,Cliente 163,F,40,Centro-Oeste,2024-04-28,,,Standard,80,Indicação
C00164,Cliente 164,F,41,Nordeste,2022-11-01,2024-11-10,Concorrência,Basic,60,Google Ads
C00165,Cliente 165,F,25,Norte,2024-03-23,,,Premium,120,Indicação
C00166,Cliente 166,M,58,Norte,2020-03-20,,,Basic,60,Indicação
C00167,Cliente 167,F,23,Sul,2022-03-19,,,Basic,60,Indicação
C00168,Cliente 168,M,22,Sudeste,2024-08-24,2024-02-25,Preço,Standard,80,Google Ads
C00169,Cliente 169,M,61,Sul,2020-10-28,,,Standard,80,Facebook
C00170,Cliente 170,F,46,Sudeste,2023-05-24,,,Standard,80,Google Ads
C00171,Cliente 171,F,45,Sudeste,2023-06-25,,,Basic,60,Indicação
C00172,Cliente 172,M,28,Norte,2024-04-13,,,Standard,80,Online
C00173,Cliente 173,M,18,Sudeste,2023-07-19,,,Basic,60,Google Ads
C00174,Cliente 174,F,60,Nordeste,2020-05-12,,,Basic,60,Online
C00175,Cliente 175,F,36,Nordeste,2022-10-25,,,Standard,80,Google Ads
C00176,Cliente 176,F,26,Nordeste,2022-01-25,,,Basic,60,Google Ads
C00177,Cliente 177,M,44,Norte,2024-04-14,,,Basic,60,Indicação
C00178,Cliente 178,M,51,Sul,2021-09-20,2024-09-25,Uso baixo,Standard,80,Facebook
C00179,Cliente 179,M,61,Centro-Oeste,2024-09-09,2024-02-04,Concorrência,Premium,120,Facebook
C00180,Cliente 180,M,21,Sudeste,2022-10-06,2024-02-25,Preço,Premium,120,Indicação
C00181,Cliente 181,M,53,Centro-Oeste,2022-02-11,,,Standard,80,Google Ads
C00182,Cliente 182,M,35,Sul,2024-11-05,,,Basic,60,Facebook
C00183,Cliente 183,F,32,Sul,2020-05-20,2024-11-04,Preço,Basic,60,Facebook
C00184,Cliente 184,M,30,Norte,2021-04-27,,,Basic,60,Facebook
C00185,Cliente 185,M,36,Nordeste,2023-08-21,,,Standard,80,Indicação
C00186,Cliente 186,M,23,Nordeste,2020-12-10,2024-11-11,Preço,Standard,80,Online
C00187,Cliente 187,F,29,Sul,2024-05-04,,,Standard,80,Online
C00188,Cliente 188,M,54,Norte,2023-07-17,,,Standard,80,Online
C00189,Cliente 189,M,34,Norte,2023-02-05,,,Basic,60,Online
C00190,Cliente 190,F,40,Sudeste,2024-04-30,,,Standard,80,Online
C00191,Cliente 191,M,43,Nordeste,2021-04-18,,,Basic,60,Facebook
C00192,Cliente 192,M,46,Sul,2023-01-10,2024-06-24,Serviço,Standard,80,Facebook
C00193,Cliente 193,M,50,Centro-Oeste,2024-07-19,,,Standard,80,Google Ads
C00194,Cliente 194,M,44,Nordeste,2023-01-12,,,Standard,80,Facebook
C00195,Cliente 195,M,42,Sudeste,2023-08-06,2024-03-20,Concorrência,Standard,80,Indicação
C00196,Cliente 196,F,27,Norte,2022-12-30,,,Standard,80,Google Ads
C00197,Cliente 197,F,64,Sul,2020-06-23,,,Basic,60,Facebook
C00198,Cliente 198,F,40,Nordeste,2022-04-21,,,Basic,60,Google Ads
C00199,Cliente 199,M,38,Centro-Oeste,2024-01-26,2024-09-23,Concorrência,Standard,80,Google Ads
C00200,Cliente 200,M,38,Sudeste,2023-11-19,,,Basic,60,Online
C00201,Cliente 201,M,60,Sudeste,2022-05-15,,,Standard,80,Google Ads
C00202,Cliente 202,F,30,Nordeste,2023-01-19,,,Standard,80,Facebook
C00203,Cliente 203,M,54,Centro-Oeste,2021-04-13,,,Premium,120,Online
C00204,Cliente 204,M,50,Sudeste,2023-12-28,,,Premium,120,Facebook
C00205,Cliente 205,F,41,Sul,2023-06-26,,,Basic,60,Online
C00206,Cliente 206,M,61,Sudeste,2021-10-05,,,Premium,120,Facebook
C00207,Cliente 207,F,28,Centro-Oeste,2021-11-11,,,Standard,80,Online
C00208,Cliente 208,F,34,Norte,2022-08-12,,,Standard,80,Online
C00209,Cliente 209,F,21,Norte,2024-05-14,,,Basic,60,Indicação
C00210,Cliente 210,M,64,Nordeste,2022-04-28,,,Premium,120,Facebook
C00211,Cliente 211,M,42,Centro-Oeste,2020-08-28,2024-10-05,Concorrência,Basic,60,Google Ads
C00212,Cliente 212,M,47,Sudeste,2021-12-02,2024-03-15,Concorrência,Premium,120,Online
C00213,Cliente 213,M,26,Sudeste,2024-02-28,2024-12-14,Concorrência,Basic,60,Facebook
C00214,Cliente 214,M,38,Norte,2020-12-05,,,Standard,80,Online
C00215,Cliente 215,M,37,Norte,2022-03-03,,,Standard,80,Indicação
C00216,Cliente 216,M,36,Sul,2022-01-13,,,Basic,60,Indicação
C00217,Cliente 217,F,36,Norte,2024-02-03,,,Basic,60,Indicação
C00218,Cliente 218,M,29,Sul,2021-04-07,,,Standard,80,Indicação
C00219,Cliente 219,F,54,Sudeste,2022-03-11,,,Basic,60,Google Ads
C00220,Cliente 220,M,59,Sul,2023-07-22,,,Standard,80,Google Ads
C00221,Cliente 221,M,34,Sul,2020-01-15,,,Standard,80,Online
C00222,Cliente 222,M,54,Nordeste,2022-11-30,,,Premium,120,Facebook
C00223,Cliente 223,F,56,Norte,2020-07-26,,,Standard,80,Indicação
C00224,Cliente 224,F,45,Sul,2022-12-19,,,Basic,60,Indicação
C00225,Cliente 225,F,58,Sudeste,2020-12-30,,,Basic,60,Google Ads
C00226,Cliente 226,F,52,Centro-Oeste,2023-06-17,2024-09-02,Uso baixo,Basic,60,Google Ads
C00227,Cliente 227,M,64,Sul,2021-08-30,,,Premium,120,Indicação
C00228,Cliente 228,F,35,Norte,2024-12-18,,,Premium,120,Facebook
C00229,Cliente 229,M,31,Nordeste,2020-06-08,2024-08-21,Concorrência,Basic,60,Online
C00230,Cliente 230,M,52,Sudeste,2021-01-31,,,Basic,60,Online
C00231,Cliente 231,F,61,Nordeste,2022-03-04,,,Premium,120,Online
C00232,Cliente 232,F,58,Centro-Oeste,2021-05-14,,,Premium,120,Online
C00233,Cliente 233,F,24,Sul,2020-07-27,,,Premium,120,Facebook
C00234,Cliente 234,F,58,Sul,2023-03-02,,,Premium,120,Facebook
C00235,Cliente 235,F,30,Norte,2023-11-05,,,Standard,80,Facebook
C00236,Cliente 236,F,35,Sul,2021-03-08,,,Basic,60,Google Ads
C00237,Cliente 237,F,54,Sudeste,2021-08-31,2024-03-13,Concorrência,Standard,80,Indicação
C00238,Cliente 238,F,30,Centro-Oeste,2024-10-20,,,Standard,80,Facebook
C00239,Cliente 239,M,53,Nordeste,2021-01-23,,,Standard,80,Online
C00240,Cliente 240,F,48,Centro-Oeste,2022-09-23,,,Standard,80,Facebook
C00241,Cliente 241,F,19,Sul,2021-08-05,,,Basic,60,Indicação
C00242,Cliente 242,M,33,Nordeste,2021-03-07,2024-05-16,Serviço,Basic,60,Google Ads
C00243,Cliente 243,F,26,Norte,2023-07-21,,,Standard,80,Online
C00244,Cliente 244,M,26,Centro-Oeste,2020-12-16,2024-02-13,Concorrência,Basic,60,Google Ads
C00245,Cliente 245,M,55,Nordeste,2020-05-13,,,Standard,80,Facebook
C00246,Cliente 246,F,28,Nordeste,2022-12-25,2024-05-28,Uso baixo,Premium,120,Online
C00247,Cliente 247,M,39,Nordeste,2021-09-30,,,Premium,120,Online
C00248,Cliente 248,M,50,Sudeste,2023-05-13,,,Standard,80,Facebook
C00249,Cliente 249,M,53,Centro-Oeste,2023-08-14,2024-06-24,Uso baixo,Standard,80,Facebook
C00250,Cliente 250,M,62,Nordeste,2020-04-26,2024-09-13,Concorrência,Basic,60,Indicação
C00251,Cliente 251,F,40,Centro-Oeste,2023-07-14,,,Standard,80,Facebook
C00252,Cliente 252,M,62,Nordeste,2024-12-22,2024-10-27,Concorrência,Standard,80,Facebook
C00253,Cliente 253,F,62,Norte,2020-05-28,,,Standard,80,Facebook
C00254,Cliente 254,M,51,Norte,2023-05-02,,,Premium,120,Online
C00255,Cliente 255,M,26,Norte,2024-08-30,,,Standard,80,Indicação
C00256,Cliente 256,M,41,Sul,2020-06-27,,,Basic,60,Online
C00257,Cliente 257,M,25,Nordeste,2020-05-27,2024-11-09,Uso baixo,Basic,60,Facebook
C00258,Cliente 258,F,24,Sul,2021-04-09,,,Standard,80,Indicação
C00259,Cliente 259,F,53,Centro-Oeste,2022-09-02,,,Standard,80,Facebook
C00260,Cliente 260,M,35,Sul,2021-07-22,,,Premium,120,Online
C00261,Cliente 261,M,20,Centro-Oeste,2022-10-25,,,Standard,80,Online
C00262,Cliente 262,F,45,Centro-Oeste,2021-06-09,,,Standard,80,Facebook
C00263,Cliente 263,M,23,Centro-Oeste,2020-10-06,,,Standard,80,Indicação
C00264,Cliente 264,M,61,Sul,2021-05-13,,,Standard,80,Online
C00265,Cliente 265,M,61,Nordeste,2022-04-15,,,Standard,80,Facebook
C00266,Cliente 266,F,38,Sul,2021-03-11,,,Standard,80,Google Ads
C00267,Cliente 267,F,45,Nordeste,2022-03-26,,,Standard,80,Facebook
C00268,Cliente 268,F,57,Nordeste,2023-05-24,,,Basic,60,Facebook
C00269,Cliente 269,M,18,Centro-Oeste,2021-11-17,,,Premium,120,Indicação
C00270,Cliente 270,M,53,Sul,2022-04-07,,,Basic,60,Facebook
C00271,Cliente 271,F,38,Nordeste,2022-08-26,,,Basic,60,Google Ads
C00272,Cliente 272,F,60,Norte,2024-03-18,,,Basic,60,Facebook
C00273,Cliente 273,F,52,Nordeste,2023-03-06,,,Basic,60,Google Ads
C00274,Cliente 274,F,30,Norte,2021-09-03,2024-03-03,Serviço,Standard,80,Online
C00275,Cliente 275,M,27,Sul,2021-08-17,,,Basic,60,Facebook
C00276,Cliente 276,F,61,Sul,2023-07-27,,,Basic,60,Indicação
C00277,Cliente 277,M,64,Sul,2020-05-11,,,Standard,80,Facebook
C00278,Cliente 278,F,27,Nordeste,2021-01-27,,,Standard,80,Google Ads
C00279,Cliente 279,M,63,Sudeste,2021-04-25,2024-01-29,Uso baixo,Basic,60,Google Ads
C00280,Cliente 280,F,30,Nordeste,2024-03-16,2024-05-26,Uso baixo,Standard,80,Indicação
C00281,Cliente 281,F,54,Nordeste,2021-09-19,,,Standard,80,Google Ads
C00282,Cliente 282,F,55,Centro-Oeste,2021-02-22,,,Premium,120,Facebook
C00283,Cliente 283,F,41,Centro-Oeste,2023-05-10,2024-02-25,Uso baixo,Standard,80,Google Ads
C00284,Cliente 284,M,19,Nordeste,2021-10-13,,,Basic,60,Facebook
C00285,Cliente 285,F,39,Norte,2021-10-19,2024-07-11,Uso baixo,Standard,80,Facebook
C00286,Cliente 286,M,34,Centro-Oeste,2021-04-06,2024-08-02,Preço,Standard,80,Google Ads
C00287,Cliente 287,M,53,Nordeste,2024-12-06,,,Basic,60,Indicação
C00288,Cliente 288,M,31,Sudeste,2023-05-10,2024-02-18,Concorrência,Premium,120,Online
C00289,Cliente 289,M,27,Norte,2020-05-31,2024-04-24,Serviço,Standard,80,Indicação
C00290,Cliente 290,F,52,Sul,2020-08-09,2024-08-16,Uso baixo,Premium,120,Online
C00291,Cliente 291,M,42,Nordeste,2020-03-19,,,Standard,80,Indicação
C00292,Cliente 292,M,20,Nordeste,2023-05-08,,,Standard,80,Facebook
C00293,Cliente 293,M,64,Norte,2024-11-20,,,Standard,80,Facebook
C00294,Cliente 294,F,55,Centro-Oeste,2020-04-08,,,Standard,80,Google Ads
C00295,Cliente 295,F,34,Centro-Oeste,2022-06-30,,,Standard,80,Online
C00296,Cliente 296,F,29,Centro-Oeste,2020-07-31,,,Premium,120,Online
C00297,Cliente 297,F,41,Sul,2023-03-12,,,Standard,80,Google Ads
C00298,Cliente 298,M,46,Norte,2021-12-02,,,Premium,120,Indicação
C00299,Cliente 299,M,60,Norte,2023-11-13,,,Premium,120,Google Ads
C00300,Cliente 300,F,42,Centro-Oeste,2023-10-29,,,Premium,120,Indicação
C00301,Cliente 301,M,53,Centro-Oeste,2022-12-11,,,Standard,80,Google Ads
C00302,Cliente 302,M,43,Sudeste,2022-08-24,,,Standard,80,Online
C00303,Cliente 303,M,55,Sudeste,2024-07-05,,,Basic,60,Online
C00304,Cliente 304,F,18,Nordeste,2020-05-14,2024-03-15,Concorrência,Standard,80,Indicação
C00305,Cliente 305,F,37,Nordeste,2021-02-14,,,Basic,60,Online
C00306,Cliente 306,M,45,Norte,2024-02-02,,,Basic,60,Online
C00307,Cliente 307,F,33,Norte,2023-02-09,2024-07-17,Concorrência,Basic,60,Online
C00308,Cliente 308,F,64,Sul,2024-03-28,2024-05-18,Preço,Premium,120,Online
C00309,Cliente 309,F,34,Sul,2022-02-23,,,Premium,120,Facebook
C00310,Cliente 310,F,57,Sudeste,2024-11-03,2024-12-28,Concorrência,Standard,80,Google Ads
C00311,Cliente 311,F,45,Nordeste,2022-12-03,2024-04-24,Uso baixo,Standard,80,Google Ads
C00312,Cliente 312,M,29,Sudeste,2023-11-21,,,Standard,80,Facebook
C00313,Cliente 313,F,44,Sudeste,2024-05-27,,,Standard,80,Online
C00314,Cliente 314,M,59,Nordeste,2020-09-17,,,Standard,80,Google Ads
C00315,Cliente 315,M,64,Sul,2022-01-12,,,Basic,60,Google Ads
C00316,Cliente 316,F,47,Nordeste,2021-06-28,,,Basic,60,Google Ads
C00317,Cliente 317,M,58,Centro-Oeste,2021-01-22,2024-10-03,Concorrência,Standard,80,Indicação
C00318,Cliente 318,M,51,Centro-Oeste,2024-02-08,,,Standard,80,Facebook
C00319,Cliente 319,M,54,Centro-Oeste,2023-12-04,,,Standard,80,Indicação
